sample,cpu_in_use,active_workers
0,11,0
1,11,1
2,46,2
3,46,2
4,81,3
5,81,3
6,88,4
7,88,4
8,96,5
9,96,5
10,96,5
11,96,5
12,96,5
13,96,5
14,96,5
15,96,5
16,96,5
17,96,5
18,96,5
19,96,5
20,96,5
21,96,5
22,90,5
23,90,5
24,90,5
25,98,5
26,98,5
27,98,5
28,98,5
29,90,6
30,90,6
31,90,6
32,90,6
33,90,6
34,90,6
35,90,6
36,90,6
37,90,6
38,90,6
39,90,6
40,90,6
41,90,6
42,90,6
43,96,6
44,96,6
45,67,6
46,87,6
47,66,4
48,66,4
49,99,5
50,99,5
51,99,5
52,99,5
53,99,5
54,99,5
55,99,5
56,99,5
57,99,5
58,99,5
59,99,5
60,99,5
61,99,5
62,99,5
63,99,5
64,95,4
65,95,4
66,95,4
67,95,4
68,95,4
69,72,4
70,72,4
71,95,4
72,95,4
73,94,6
74,94,6
75,94,6
76,94,6
77,94,6
78,94,6
79,94,6
80,94,6
81,94,6
82,94,6
83,94,6
84,96,6
85,96,6
86,96,6
87,96,6
88,96,6
89,81,7
90,82,8
91,82,8
92,80,8
93,72,7
94,72,7
95,72,7
96,72,7
97,72,7
98,72,7
99,72,7
100,72,7
101,72,7
102,100,8
103,100,8
104,100,8
105,100,8
106,100,8
107,100,8
108,93,7
109,72,5
110,67,4
111,89,4
112,78,3
113,78,3
114,78,3
115,78,3
116,78,3
117,78,3
118,78,3
119,78,3
120,78,3
121,78,3
122,78,3
123,89,4
124,89,4
125,89,4
126,89,4
127,89,4
128,89,4
129,89,4
130,79,5
131,79,5
132,79,5
133,79,5
134,79,5
135,79,5
136,79,5
137,79,5
138,79,5
139,79,5
140,79,5
141,79,5
142,100,5
143,100,5
144,100,5
145,100,5
146,100,5
147,100,5
148,100,6
149,100,6
150,100,6
151,96,6
152,96,6
153,96,6
154,96,6
155,96,6
156,96,6
157,96,6
158,96,6
159,96,6
160,96,6
161,76,6
162,76,6
163,76,6
164,76,6
165,76,6
166,76,6
167,76,6
168,90,7
169,97,7
170,97,7
171,97,7
172,97,7
173,97,7
174,97,7
175,97,7
176,97,7
177,97,7
178,97,7
179,97,7
180,97,7
181,77,5
182,77,5
183,77,5
184,77,5
185,77,5
186,87,6
187,82,5
188,68,4
189,68,4
190,88,4
191,88,4
192,88,4
193,88,4
194,88,4
195,88,4
196,88,4
197,88,4
198,88,4
199,88,4
200,88,4
201,88,4
202,88,4
203,88,4
204,91,6
205,91,6
206,91,6
207,100,7
208,100,7
209,100,7
210,100,7
211,100,7
212,100,7
213,100,7
214,100,7
215,100,7
216,100,7
217,100,7
218,100,7
219,100,7
220,100,7
221,100,7
222,100,7
223,90,6
224,90,6
225,66,4
226,93,4
227,96,4
228,96,4
229,96,4
230,96,4
231,96,4
232,96,4
233,96,4
234,96,4
235,96,4
236,96,4
237,96,4
238,96,4
239,96,4
240,96,4
241,96,4
242,96,4
243,85,3
244,85,3
245,85,3
246,85,3
247,70,2
248,70,2
249,78,3
250,78,3
