sample,cpu_in_use,active_workers
0,0,0
1,11,1
2,11,1
3,46,2
4,46,2
5,81,3
6,81,3
7,88,4
8,96,4
9,96,5
10,96,5
11,96,5
12,96,5
13,96,5
14,96,5
15,96,5
16,96,5
17,96,5
18,96,5
19,96,5
20,96,5
21,96,5
22,90,5
23,90,5
24,90,5
25,98,5
26,98,5
27,98,5
28,98,5
29,98,5
30,98,5
31,98,5
32,98,5
33,98,5
34,98,5
35,98,5
36,98,5
37,98,5
38,98,5
39,98,5
40,98,5
41,98,5
42,98,5
43,98,5
44,93,4
45,93,4
46,92,4
47,92,4
48,97,4
49,97,4
50,97,4
51,97,4
52,97,4
53,97,4
54,97,4
55,97,4
56,97,4
57,97,4
58,97,4
59,97,4
60,97,4
61,97,4
62,97,4
63,97,4
64,97,4
65,97,4
66,95,4
67,99,5
68,99,5
69,99,5
70,99,5
71,99,5
72,99,5
73,99,5
74,99,5
75,99,5
76,99,5
77,99,5
78,99,5
79,99,5
80,99,5
81,99,5
82,99,5
83,99,5
84,99,5
85,99,5
86,95,4
87,95,4
88,95,4
89,95,4
90,95,4
91,95,4
92,95,4
93,95,4
94,95,4
95,95,4
96,95,4
97,95,4
98,95,4
99,95,4
100,95,4
101,95,4
102,95,4
103,95,4
104,95,4
105,97,4
106,97,4
107,97,4
108,97,4
109,97,4
110,97,4
111,97,4
112,97,4
113,97,4
114,97,4
115,97,4
116,97,4
117,97,4
118,97,4
119,97,4
120,97,4
121,97,4
122,97,4
123,97,4
124,97,4
125,89,4
126,89,4
127,89,4
128,89,4
129,99,5
130,99,5
131,99,5
132,99,5
133,99,5
134,99,5
135,99,5
136,99,5
137,99,5
138,99,5
139,99,5
140,99,5
141,99,5
142,99,5
143,99,5
144,99,5
145,100,5
146,100,5
147,90,5
148,96,5
149,96,5
150,96,5
151,96,5
152,96,5
153,96,5
154,96,5
155,96,5
156,96,5
157,96,5
158,96,5
159,96,5
160,96,5
161,96,5
162,96,5
163,96,5
164,96,5
165,88,4
166,88,4
167,88,4
168,94,4
169,94,4
170,94,4
171,94,4
172,94,4
173,94,4
174,94,4
175,94,4
176,94,4
177,94,4
178,94,4
179,94,4
180,94,4
181,94,4
182,94,4
183,94,4
184,94,4
185,94,4
186,94,4
187,97,5
188,97,5
189,97,5
190,97,5
191,97,5
192,97,5
193,97,5
194,97,5
195,97,5
196,97,5
197,97,5
198,97,5
199,97,5
200,97,5
201,97,5
202,97,5
203,97,5
204,97,5
205,97,5
206,90,4
207,90,4
208,100,5
209,100,5
210,100,5
211,100,5
212,100,5
213,100,5
214,100,5
215,100,5
216,100,5
217,100,5
218,100,5
219,100,5
220,100,5
221,100,5
222,100,5
223,100,5
224,100,5
225,100,5
226,100,5
227,98,6
228,98,6
229,98,6
230,98,6
231,98,6
232,98,6
233,98,6
234,98,6
235,98,6
236,98,6
237,98,6
238,98,6
239,98,6
240,98,6
241,98,6
242,98,6
243,98,6
244,98,6
245,90,5
246,95,5
247,96,5
248,91,4
249,91,4
250,91,4
251,91,4
252,91,4
253,91,4
254,91,4
255,91,4
256,91,4
257,91,4
258,91,4
259,91,4
260,91,4
261,91,4
262,91,4
263,91,4
264,91,4
265,91,4
266,97,4
267,99,4
268,99,4
269,99,4
270,99,4
271,99,4
272,99,4
273,99,4
274,99,4
275,99,4
276,99,4
277,99,4
278,99,4
279,99,4
280,99,4
281,99,4
282,99,4
283,99,4
284,99,4
285,99,4
286,90,4
287,90,4
288,93,5
289,93,5
290,93,5
291,93,5
292,93,5
293,93,5
294,93,5
295,93,5
296,93,5
297,93,5
298,93,5
299,93,5
300,93,5
301,93,5
302,93,5
303,93,5
304,88,4
305,88,4
306,96,4
307,96,4
308,96,4
309,98,4
310,98,4
311,98,4
312,98,4
313,98,4
314,98,4
315,98,4
316,98,4
317,98,4
318,98,4
319,98,4
320,98,4
321,98,4
322,98,4
323,98,4
324,98,4
325,100,5
326,100,5
327,100,5
328,100,5
329,100,5
330,99,5
331,99,5
332,99,5
333,99,5
334,99,5
335,99,5
336,99,5
337,99,5
338,99,5
339,99,5
340,99,5
341,99,5
342,99,5
343,99,5
344,93,4
345,90,4
346,90,4
347,90,4
348,90,4
349,90,4
350,89,4
351,89,4
352,89,4
353,89,4
354,89,4
355,89,4
356,89,4
357,89,4
358,89,4
359,89,4
360,89,4
361,89,4
362,89,4
363,89,4
364,96,4
365,96,4
366,96,4
367,96,4
368,96,4
369,96,4
370,93,4
371,93,4
372,93,4
373,93,4
374,93,4
375,93,4
376,93,4
377,93,4
378,93,4
379,93,4
380,93,4
381,93,4
382,92,5
383,92,5
384,92,5
385,92,5
386,95,5
387,95,5
388,95,5
389,95,5
390,95,5
391,95,5
392,95,5
393,95,5
394,95,5
395,95,5
396,95,5
397,95,5
398,95,4
399,87,4
400,87,4
401,96,4
402,96,4
403,96,4
404,94,4
405,94,4
406,94,4
407,94,4
408,94,4
409,94,4
410,94,4
411,94,4
412,94,4
413,94,4
414,94,4
415,94,4
416,94,4
417,94,4
418,94,4
419,88,4
420,88,4
421,88,4
422,94,4
423,94,4
424,94,4
425,94,4
426,94,4
427,94,4
428,94,4
429,94,4
430,94,4
431,94,4
432,94,4
433,94,4
434,94,4
435,94,4
436,94,4
437,94,4
438,99,4
439,99,4
440,99,4
441,98,4
442,98,4
443,98,4
444,98,4
445,98,4
446,98,4
447,98,4
448,98,4
449,98,4
450,98,4
451,98,4
452,98,4
453,98,4
454,98,4
455,98,4
456,98,4
457,98,4
458,98,4
459,98,4
460,90,4
461,90,4
462,90,4
463,97,5
464,97,5
465,97,5
466,97,5
467,97,5
468,97,5
469,97,5
470,97,5
471,97,5
472,97,5
473,97,5
474,97,5
475,97,5
476,97,5
477,97,5
478,91,4
479,91,4
480,91,4
481,100,4
482,98,4
483,98,4
484,98,4
485,98,4
486,98,4
487,98,4
488,98,4
489,98,4
490,98,4
491,98,4
492,98,4
493,98,4
494,98,4
495,98,4
496,98,4
497,98,4
498,98,4
499,96,4
500,98,4
501,98,4
502,98,4
503,98,4
504,98,4
505,98,4
506,98,4
507,98,4
508,98,4
509,98,4
510,98,4
511,98,4
512,98,4
513,98,4
514,98,4
515,98,4
516,98,4
517,98,4
518,98,4
519,98,4
520,98,4
521,97,5
522,97,5
523,97,5
524,97,5
525,97,5
526,97,5
527,97,5
528,97,5
529,97,5
530,97,5
531,97,5
532,97,5
533,97,5
534,97,5
535,97,5
536,97,5
537,97,5
538,97,5
539,98,5
540,93,5
541,93,5
542,93,5
543,93,5
544,93,5
545,93,5
546,93,5
547,93,5
548,93,5
549,93,5
550,93,5
551,93,5
552,93,5
553,93,5
554,93,5
555,93,5
556,93,5
557,93,5
558,93,5
559,93,5
560,91,4
561,91,4
562,91,4
563,91,4
564,91,4
565,91,4
566,91,4
567,91,4
568,91,4
569,91,4
570,91,4
571,91,4
572,91,4
573,91,4
574,91,4
575,91,4
576,91,4
577,91,4
578,97,5
579,93,5
580,93,5
581,93,5
582,93,5
583,93,5
584,93,5
585,93,5
586,93,5
587,93,5
588,93,5
589,93,5
590,93,5
591,93,5
592,93,5
593,93,5
594,93,5
595,93,5
596,93,5
597,93,5
598,98,5
599,98,5
600,98,5
601,98,5
602,98,5
603,98,5
604,98,5
605,98,5
606,98,5
607,98,5
608,98,5
609,98,5
610,98,5
611,98,5
612,98,5
613,98,5
614,98,5
615,98,5
616,95,5
617,90,5
618,90,5
619,90,5
620,90,5
621,90,5
622,90,5
623,90,5
624,90,5
625,90,5
626,90,5
627,90,5
628,90,5
629,90,5
630,90,5
631,90,5
632,90,5
633,90,5
634,90,5
635,90,5
636,97,5
637,92,4
638,93,4
639,93,4
640,93,4
641,93,4
642,93,4
643,93,4
644,93,4
645,93,4
646,93,4
647,93,4
648,93,4
649,93,4
650,93,4
651,93,4
652,93,4
653,93,4
654,99,6
655,99,6
656,99,6
657,99,6
658,90,5
659,90,5
660,90,5
661,90,5
662,90,5
663,90,5
664,90,5
665,90,5
666,90,5
667,90,5
668,90,5
669,90,5
670,90,5
671,90,5
672,90,5
673,90,5
674,95,4
675,95,4
676,95,4
677,95,4
678,95,4
679,95,4
680,95,4
681,95,4
682,95,4
683,95,4
684,95,4
685,95,4
686,95,4
687,95,4
688,95,4
689,95,4
690,95,4
691,95,4
692,97,5
693,97,5
694,97,5
695,97,5
696,97,5
697,97,5
698,97,5
699,97,5
700,97,5
701,97,5
702,97,5
703,97,5
704,97,5
705,97,5
706,97,5
707,97,5
708,97,5
709,97,5
710,93,4
711,93,4
712,93,4
713,100,5
714,100,5
715,100,5
716,100,5
717,100,5
718,100,5
719,100,5
720,100,5
721,100,5
722,100,5
723,100,5
724,100,5
725,100,5
726,100,5
727,100,5
728,100,5
729,98,5
730,98,5
731,98,5
732,90,4
733,90,4
734,99,5
735,99,5
736,99,5
737,99,5
738,99,5
739,99,5
740,99,5
741,99,5
742,99,5
743,99,5
744,99,5
745,99,5
746,99,5
747,96,5
748,96,5
749,96,5
750,96,5
751,96,5
752,98,5
753,93,5
754,93,5
755,93,5
756,93,5
757,93,5
758,93,5
759,93,5
760,93,5
761,93,5
762,93,5
763,93,5
764,93,5
765,93,5
766,96,5
767,96,5
768,96,5
769,96,5
770,96,5
771,96,5
772,96,5
773,96,5
774,96,5
775,96,5
776,96,5
777,96,5
778,96,5
779,96,5
780,96,5
781,96,5
782,96,5
783,96,5
784,96,5
785,96,5
786,97,5
787,97,5
788,97,5
789,97,5
790,97,5
791,97,5
792,89,4
793,95,4
794,95,4
795,95,4
796,95,4
797,95,4
798,95,4
799,95,4
800,95,4
801,95,4
802,95,4
803,95,4
804,95,4
805,95,4
806,95,4
807,95,4
808,98,4
809,98,4
810,98,4
811,98,4
812,98,4
813,98,4
814,100,5
815,100,5
816,100,5
817,100,5
818,100,5
819,100,5
820,100,5
821,100,5
822,100,5
823,100,5
824,100,5
825,100,5
826,100,5
827,100,5
828,100,6
829,100,6
830,100,6
831,100,6
832,99,6
833,94,5
834,94,5
835,94,5
836,94,5
837,94,5
838,94,5
839,94,5
840,94,5
841,94,5
842,94,5
843,94,5
844,94,5
845,94,5
846,100,5
847,100,5
848,100,5
849,100,5
850,93,4
851,99,4
852,99,4
853,99,4
854,99,4
855,99,4
856,99,4
857,99,4
858,99,4
859,99,4
860,99,4
861,99,4
862,99,4
863,99,4
864,99,4
865,99,4
866,99,4
867,99,4
868,93,4
869,93,4
870,93,4
871,90,4
872,90,4
873,90,4
874,90,4
875,90,4
876,90,4
877,90,4
878,90,4
879,90,4
880,90,4
881,90,4
882,90,4
883,90,4
884,90,4
885,90,4
886,96,4
887,96,4
888,96,4
889,96,4
890,96,4
891,96,4
892,90,4
893,90,4
894,90,4
895,90,4
896,90,4
897,90,4
898,90,4
899,90,4
900,90,4
901,90,4
902,90,4
903,90,4
904,90,4
905,88,4
906,88,4
907,88,4
908,88,4
909,88,4
910,88,4
911,88,4
912,95,4
913,95,4
914,95,4
915,95,4
916,95,4
917,95,4
918,95,4
919,95,4
920,95,4
921,95,4
922,95,4
923,95,4
924,96,4
925,96,4
926,96,4
927,96,4
928,96,4
929,91,4
930,91,4
931,91,4
932,91,4
933,91,4
934,91,4
935,91,4
936,91,4
937,91,4
938,91,4
939,91,4
940,91,4
941,88,4
942,88,4
943,88,4
944,88,4
945,88,4
946,88,4
947,88,4
948,88,4
949,94,4
950,94,4
951,94,4
952,94,4
953,94,4
954,94,4
955,94,4
956,94,4
957,94,4
958,94,4
959,94,4
960,94,4
961,94,4
962,94,4
963,94,4
964,94,4
965,94,4
966,94,4
967,94,4
968,100,5
969,100,5
970,100,5
971,100,5
972,100,5
973,100,5
974,100,5
975,100,5
976,100,5
977,100,5
978,100,5
979,100,5
980,100,5
981,100,5
982,100,5
983,100,5
984,100,5
985,100,5
986,100,5
987,100,5
988,100,5
989,100,5
990,90,4
991,90,4
992,90,4
993,90,4
994,90,4
995,90,4
996,90,4
997,90,4
998,90,4
999,90,4
1000,90,4
1001,97,5
1002,97,5
1003,97,5
1004,97,5
1005,97,5
1006,97,5
1007,100,6
1008,100,6
1009,100,6
1010,100,6
1011,100,6
1012,100,6
1013,100,6
1014,100,6
1015,100,6
1016,100,6
1017,100,6
1018,100,6
1019,100,6
1020,100,6
1021,94,5
1022,94,5
1023,94,5
1024,94,5
1025,94,5
1026,94,5
1027,94,5
1028,99,5
1029,93,4
1030,93,4
1031,93,4
1032,93,4
1033,93,4
1034,93,4
1035,93,4
1036,93,4
1037,93,4
1038,93,4
1039,93,4
1040,93,4
1041,93,4
1042,93,4
1043,99,5
1044,99,5
1045,99,5
1046,99,5
1047,99,5
1048,99,5
1049,87,4
1050,87,4
1051,87,4
1052,87,4
1053,87,4
1054,87,4
1055,87,4
1056,87,4
1057,87,4
1058,87,4
1059,87,4
1060,87,4
1061,87,4
1062,87,4
1063,89,4
1064,99,4
1065,99,4
1066,99,4
1067,99,4
1068,99,4
1069,99,4
1070,99,4
1071,99,4
1072,99,4
1073,99,4
1074,99,4
1075,99,4
1076,99,4
1077,99,4
1078,99,4
1079,99,4
1080,99,4
1081,99,4
1082,99,4
1083,99,4
1084,97,5
1085,97,5
1086,97,5
1087,97,5
1088,97,5
1089,97,5
1090,97,5
1091,97,5
1092,97,5
1093,97,5
1094,97,5
1095,97,5
1096,97,5
1097,97,5
1098,97,5
1099,97,5
1100,97,5
1101,97,5
1102,95,4
1103,95,4
1104,95,4
1105,94,4
1106,94,4
1107,94,4
1108,94,4
1109,94,4
1110,94,4
1111,94,4
1112,94,4
1113,94,4
1114,94,4
1115,94,4
1116,94,4
1117,94,4
1118,94,4
1119,94,4
1120,94,4
1121,96,4
1122,96,4
1123,96,4
1124,94,4
1125,94,4
1126,94,4
1127,94,4
1128,94,4
1129,94,4
1130,94,4
1131,94,4
1132,94,4
1133,94,4
1134,94,4
1135,94,4
1136,94,4
1137,94,4
1138,94,4
1139,94,4
1140,94,4
1141,90,4
1142,90,4
1143,90,4
1144,90,4
1145,90,4
1146,90,4
1147,90,4
1148,90,4
1149,90,4
1150,90,4
1151,90,4
1152,90,4
1153,90,4
1154,90,4
1155,90,4
1156,90,4
1157,90,4
1158,90,4
1159,90,4
1160,97,4
1161,97,4
1162,98,5
1163,98,5
1164,98,5
1165,98,5
1166,98,5
1167,98,5
1168,98,5
1169,98,5
1170,98,5
1171,98,5
1172,98,5
1173,98,5
1174,98,5
1175,98,5
1176,98,5
1177,98,5
1178,98,5
1179,98,5
1180,95,5
1181,95,5
1182,88,4
1183,88,4
1184,88,4
1185,88,4
1186,88,4
1187,88,4
1188,88,4
1189,88,4
1190,88,4
1191,88,4
1192,88,4
1193,88,4
1194,88,4
1195,88,4
1196,88,4
1197,88,4
1198,88,4
1199,88,4
1200,90,4
1201,98,4
1202,98,4
1203,98,4
1204,98,4
1205,98,4
1206,98,4
1207,98,4
1208,98,4
1209,98,4
1210,98,4
1211,98,4
1212,98,4
1213,98,4
1214,98,4
1215,98,4
1216,98,4
1217,98,4
1218,94,4
1219,94,4
1220,91,4
1221,91,4
1222,91,4
1223,91,4
1224,91,4
1225,91,4
1226,91,4
1227,91,4
1228,91,4
1229,91,4
1230,91,4
1231,91,4
1232,91,4
1233,91,4
1234,91,4
1235,91,4
1236,91,4
1237,91,4
1238,91,4
1239,92,4
1240,92,4
1241,92,4
1242,92,4
1243,92,4
1244,92,4
1245,92,4
1246,92,4
1247,92,4
1248,92,4
1249,92,4
1250,92,4
1251,92,4
1252,92,4
1253,92,4
1254,92,4
1255,96,4
1256,96,4
1257,96,4
1258,96,4
1259,96,4
1260,95,4
1261,95,4
1262,95,4
1263,95,4
1264,95,4
1265,95,4
1266,95,4
1267,95,4
1268,95,4
1269,95,4
1270,95,4
1271,95,4
1272,95,4
1273,89,4
1274,89,4
1275,89,4
1276,89,4
1277,89,4
1278,89,4
1279,89,4
1280,89,4
1281,96,5
1282,96,5
1283,96,5
1284,96,5
1285,96,5
1286,96,5
1287,96,5
1288,96,5
1289,96,5
1290,96,5
1291,96,5
1292,96,5
1293,96,5
1294,96,5
1295,96,5
1296,96,5
1297,96,5
1298,96,5
1299,98,6
1300,98,6
1301,98,6
1302,98,6
1303,98,6
1304,98,6
1305,98,6
1306,98,6
1307,98,6
1308,98,6
1309,98,6
1310,98,6
1311,98,6
1312,98,6
1313,90,5
1314,90,5
1315,90,5
1316,90,5
1317,96,5
1318,96,5
1319,96,5
1320,93,5
1321,93,5
1322,93,5
1323,93,5
1324,93,5
1325,93,5
1326,93,5
1327,93,5
1328,93,5
1329,93,5
1330,93,5
1331,93,5
1332,93,5
1333,93,5
1334,93,5
1335,93,5
1336,97,6
1337,97,6
1338,92,5
1339,99,5
1340,99,5
1341,99,5
1342,99,5
1343,99,5
1344,99,5
1345,99,5
1346,99,5
1347,99,5
1348,99,5
1349,99,5
1350,99,5
1351,99,5
1352,99,5
1353,99,5
1354,99,5
1355,99,5
1356,99,5
1357,100,5
1358,93,4
